,sell_price,rent_price,net_area,gross_area,effi_ratio,layout,orit,view,desc,upd_dt,addr,blk_num,school,ttl_flt,occu_permit_dt,facilities,prop_val,ln_amt,int_rt,rpy_prd,inc_reqr
0,Price(HK$)8.19M,,420,"1,339",31%,,,,,17/05/2019, 138 YEUNG UK ROAD,1, Nearby Kindergarten TSUEN WAN; Primary 62; Secondary TSUEN WAN,960Units,"01August,2005",,"$8,200,000","60%or$4,920,000",P*-3.0or2.375%,30Years(360Phase),"$45,918/Month"
0,Price(HK$)9.8M,,681,875,78%,3room(s),East,Bright&OpenView,,19/05/2019, 9 SHA ON STREET,, Nearby Kindergarten SHATIN; Primary 89; Secondary SHATIN,"1,606Units","23March,2000(Block1,2),17February,2000(Block3,5-12,15)",,"$9,800,000","51%or$5,000,000",P*-3.0or2.375%,30Years(360Phase),"$46,664/Month"
0,Price(HK$)4.28M,,280,377,74%,2room(s),Southeast,,,05/05/2019, 51G YAU SAN STREET,1Block, Nearby Kindergarten YUEN LONG; Primary 74; Secondary YUEN LONG,120Units,"30June,1987",,"$4,280,000","60%or$2,568,000",P*-3.0or2.375%,30Years(360Phase),"$23,967/Month"
0,Price(HK$)3.88M,,297,423,70%,2room(s),,,,17/05/2019, 6 TSING MIN PATH,1Block, Nearby Kindergarten TUEN MUN; Primary 71; Secondary TUEN MUN,160Units,"18June,1981",,"$3,880,000","60%or$2,328,000",P*-3.0or2.375%,30Years(360Phase),"$21,727/Month"
0,Price(HK$)62M,,"1,779","3,000",59%,4room(s),,Bright&OpenView,"Terrace,Garage",10/05/2019,,7,,7,16/03/1984,,"$62,000,000","50%or$31,000,000",P*-3.0or2.375%,30Years(360Phase),"$289,318/Month"
0,Price(HK$)7.38M,,495,700,71%,2room(s),,Bright&OpenView,,17/05/2019,,1,,30,01/09/1970,,"$7,380,000","60%or$4,428,000",P*-3.0or2.375%,30Years(360Phase),"$41,326/Month"
0,Price(HK$)11.3M,,694,,,,,,,17/05/2019, 48 WING SHUN STREET,7Blocks, Nearby Kindergarten TSUEN WAN; Primary 62; Secondary TSUEN WAN,"1,717Units","19September,2014",,"$11,300,000","50%or$5,650,000",P*-3.0or2.375%,30Years(360Phase),"$52,731/Month"
0,Price(HK$)9.5M,,802,"1,051",76%,,,,,13/05/2019, 138 SHAP PAT HEUNG ROAD,"5Towers(Tower1,2,3,5,6)", Nearby Kindergarten YUEN LONG; Primary 73; Secondary YUEN LONG,672Units,"05February,2010",,"$9,500,000","52%or$5,000,000",P*-3.0or2.375%,30Years(360Phase),"$46,664/Month"
0,Price(HK$)5.4M,,374,,,1room(s),North,,,16/05/2019, 11 TAK YIP STREET,2Block, Nearby Kindergarten YUEN LONG; Primary 74; Secondary YUEN LONG,523Units,"10March,2017",,"$5,400,000","60%or$3,240,000",P*-3.0or2.375%,30Years(360Phase),"$30,238/Month"
0,Price(HK$)15.9M,,"1,041","1,236",84%,3room(s),,,,18/05/2019, 1 TSUN KING ROAD,10, Nearby Kindergarten SHATIN; Primary 91; Secondary SHATIN,"2,504Units","23December,1996(Block8-11),13September,1995(Block1-3,5-7)",,"$15,900,000","50%or$7,950,000",P*-3.0or2.375%,30Years(360Phase),"$74,196/Month"
0,Price(HK$)6M,,312,433,72%,,Southwest,,,13/05/2019, 138 YEUNG UK ROAD,1, Nearby Kindergarten TSUEN WAN; Primary 62; Secondary TSUEN WAN,960Units,"01August,2005",,"$6,000,000","60%or$3,600,000",P*-3.0or2.375%,30Years(360Phase),"$33,598/Month"
0,Price(HK$)11.2M,,797,"1,030",77%,,,,Garden,19/05/2019, 99 TAI TONG ROAD,2Blocks, Nearby Kindergarten YUEN LONG; Primary 74; Secondary YUEN LONG,217Units,,,"$11,200,000","50%or$5,600,000",P*-3.0or2.375%,30Years(360Phase),"$52,264/Month"
0,Price(HK$)26.5M,,762,"1,016",75%,3room(s),Northeast,"Bright&OpenView,MountainView",,14/05/2019, 1 AUSTIN ROAD WEST,, Nearby Kindergarten YAU TSIM MONG; Primary 31; Secondary YAU TSIM MONG,"2,126Units","16October,2003(Block1,2),30October,2002(Block3,5,6)",,"$26,500,000","50%or$13,250,000",P*-3.0or2.375%,30Years(360Phase),"$123,660/Month"
0,Price(HK$)8.88M,,502,,,,,,,16/05/2019, 48 WING SHUN STREET,7Blocks, Nearby Kindergarten TSUEN WAN; Primary 62; Secondary TSUEN WAN,"1,717Units","19September,2014",,"$8,880,000","56%or$5,000,000",P*-3.0or2.375%,30Years(360Phase),"$46,664/Month"
0,Price(HK$)6.5M,,535,702,76%,3room(s),Southwest,,,19/05/2019, 33 SAN WAN ROAD,11, Nearby Kindergarten NORTH; Primary 81; Secondary NORTH,"2,200Units","23December,1991(BlockH,J-L),27December,1990(BlockA-G)","Lounge,SwimmingPool,TennisCourt,ChildrenPlayground,PodiumGarden","$6,500,000","60%or$3,900,000",P*-3.0or2.375%,30Years(360Phase),"$36,398/Month"
0,Price(HK$)21M,,"1,250","1,579",79%,,,Bright&OpenView,,19/05/2019, 18A SOUTH HORIZON DRIVE,34, Nearby Kindergarten SOUTH; Primary 18; Secondary SOUTH,"9,812Units","28March,1995(Block25-28,32,33,33A),19December,1994(Block29-31),02February,1994(Block19,20,22,23,23A),20December,1993(Block17,18,21),27July,1993(Block13A,15,16),30October,1992(Block7-13),31March,1992(Block6),22November,1991(Block1-5)","ClubHouse,IndoorHeatedSwimmingPool,Jacuzzi,Gymnasium,SquashCourt,BasketballCourt,BadmintonCourt,DancingRoom,GameRoom,OutdoorSwimmingPool,TennisCourt,ChildrenPlayground","$21,000,000","50%or$10,500,000",P*-3.0or2.375%,30Years(360Phase),"$97,995/Month"
0,Price(HK$)20M,,"1,250","1,579",79%,,Northeast,"Bright&OpenView,SeaView,MountainView",,17/05/2019, 18A SOUTH HORIZON DRIVE,34, Nearby Kindergarten SOUTH; Primary 18; Secondary SOUTH,"9,812Units","28March,1995(Block25-28,32,33,33A),19December,1994(Block29-31),02February,1994(Block19,20,22,23,23A),20December,1993(Block17,18,21),27July,1993(Block13A,15,16),30October,1992(Block7-13),31March,1992(Block6),22November,1991(Block1-5)","ClubHouse,IndoorHeatedSwimmingPool,Jacuzzi,Gymnasium,SquashCourt,BasketballCourt,BadmintonCourt,DancingRoom,GameRoom,OutdoorSwimmingPool,TennisCourt,ChildrenPlayground","$20,000,000","50%or$10,000,000",P*-3.0or2.375%,30Years(360Phase),"$93,329/Month"
0,Price(HK$)8.5M,,696,907,77%,,,,,18/05/2019, 1 YING HO ROAD,"25towers,48houses", Nearby Kindergarten YUEN LONG; Primary 74; Secondary YUEN LONG,780Units,"06September,2013",,"$8,500,000","58%or$5,000,000",P*-3.0or2.375%,30Years(360Phase),"$46,664/Month"
0,Price(HK$)21.48M,,716,,,2room(s),,"Bright&OpenView,MountainView",,18/05/2019, 18A TIN HAU TEMPLE ROAD,5Blocks, Nearby Kindergarten WAN CHAI; Primary 12; Secondary WAN CHAI,358Units,"09December,2015",,"$21,480,000","50%or$10,740,000",P*-3.0or2.375%,30Years(360Phase),"$100,235/Month"
0,Price(HK$)4.9M,,280,421,67%,2room(s),,GardenView,,19/05/2019, 7-11 SHA KOK STREET,3, Nearby Kindergarten SHATIN; Primary 91; Secondary SHATIN,636Units,"31May,1984","PodiumGarden,SwimmingPool","$4,900,000","60%or$2,940,000",P*-3.0or2.375%,30Years(360Phase),"$27,439/Month"
0,Price(HK$)38M,,988,"1,066",93%,,Southwest,,,09/05/2019, 23 FAT KWONG STREET,"3Towers,7Houses", Nearby Kindergarten KOWLOON CITY; Primary 34; Secondary KOWLOON CITY,256Units,"19November,2015",,"$38,000,000","50%or$19,000,000",P*-3.0or2.375%,30Years(360Phase),"$177,324/Month"
0,Price(HK$)7M,,484,,,,,,,11/05/2019, 8 KWONG YIP STREET,4Towers(Tower1toTower5;Tower4isomitted), Nearby Kindergarten YUEN LONG; Primary 74; Secondary YUEN LONG,912Units,"9August,2017",,"$7,000,000","60%or$4,200,000",P*-3.0or2.375%,30Years(360Phase),"$39,198/Month"
0,Price(HK$)20M,,"1,168","1,533",76%,4room(s),South,,,09/05/2019, 108 ROUTE TWISK,Phase1, Nearby Kindergarten TSUEN WAN; Primary 62; Secondary TSUEN WAN,770Units,"18October,2004(Block11,12,15-19),03September,2004(Block1-3,5-10)",,"$20,000,000","50%or$10,000,000",P*-3.0or2.375%,30Years(360Phase),"$93,329/Month"
0,Price(HK$)10.75M,,646,838,77%,3room(s),Southeast,,,11/05/2019, 83 TUEN MUN HEUNG SZE WUI ROAD,4Towers, Nearby Kindergarten TUEN MUN; Primary 71; Secondary TUEN MUN,"1,080Units","31December,2012",,"$10,750,000","50%or$5,375,000",P*-3.0or2.375%,30Years(360Phase),"$50,164/Month"
0,Price(HK$)5.5M,,308,468,66%,1room(s),,,,10/05/2019, 24-28 ABERDEEN MAIN ROAD,1Block, Nearby Kindergarten SOUTH; Primary 18; Secondary SOUTH,52Units,"2July,1992",,"$5,500,000","60%or$3,300,000",P*-3.0or2.375%,30Years(360Phase),"$30,798/Month"
0,Price(HK$)12.4M,,690,905,76%,3room(s),,"SeaView,FountainView","Terrace,597FeetGarden",07/05/2019, 599 SAI SHA ROAD,"7Towers(Tower1,2,3,5,6,7,8)", Nearby Kindergarten SHATIN; Primary 89; Secondary SHATIN,"2,169Units","17July,2009","Clubhouse/ancillaryrecreationalfacilitiesincludeoutdoorswimmingpools,kid'spool,jacuzzi,indoorswimmingpool,saunaandsteam,changingrooms,spaandspavillas,multi-purposeballcourt,gymnasium,kid'sgymnasium,aerobicroom,bowlingalley,billiardrooms,sittingareasandlounges,readingrooms,functionrooms,studyroom,musicroom,computerroom,gameroooms,videogamesroom,children'splayareas,outdoorchildrenplayareas,BBQhuts,tenniscourt,karaokerooms,fitnessroom,tabletennisroomandlandscapedgardens","$12,400,000","50%or$6,200,000",P*-3.0or2.375%,30Years(360Phase),"$57,864/Month"
0,Price(HK$)7.38M,,422,626,67%,2room(s),Southeast,,,17/05/2019, 298 SHA TSUI ROAD,1, Nearby Kindergarten TSUEN WAN; Primary 62; Secondary TSUEN WAN,88Units,"28June,2002",,"$7,380,000","60%or$4,428,000",P*-3.0or2.375%,30Years(360Phase),"$41,326/Month"
0,Price(HK$)7.3M,,429,618,69%,2room(s),,,,18/05/2019, 118 YEUNG UK ROAD,1, Nearby Kindergarten TSUEN WAN; Primary 62; Secondary TSUEN WAN,440Units,"28August,2006","25mswimmingpool,gymnasium,76carparkspaces,shops","$7,300,000","60%or$4,380,000",P*-3.0or2.375%,30Years(360Phase),"$40,878/Month"
0,Price(HK$)7.6M,,464,643,72%,2room(s),Southwest,"SeaView,SeaView",,12/05/2019, 100 YEUNG UK ROAD,4, Nearby Kindergarten TSUEN WAN; Primary 62; Secondary TSUEN WAN,"1,624Units","10June,2005",Clubhouse,"$7,600,000","60%or$4,560,000",P*-3.0or2.375%,30Years(360Phase),"$42,558/Month"
0,Price(HK$)10.5M,,696,,,,,"MountainView,GardenView",,19/05/2019, 48 WING SHUN STREET,7Blocks, Nearby Kindergarten TSUEN WAN; Primary 62; Secondary TSUEN WAN,"1,717Units","19September,2014",,"$10,500,000","50%or$5,250,000",P*-3.0or2.375%,30Years(360Phase),"$48,998/Month"
0,Price(HK$)20M,,890,983,91%,3room(s),Southwest,Bright&OpenView,1FeetBalcony,13/05/2019, 39 KENNEDY ROAD,5, Nearby Kindergarten CENTRAL & WESTERN; Primary 12; Secondary CENTRAL & WESTERN,316Units,"12September,1977",Carpark,"$20,000,000","50%or$10,000,000",P*-3.0or2.375%,30Years(360Phase),"$93,329/Month"
0,Price(HK$)18.8M,,940,"1,100",85%,3room(s),Southwest,,,18/05/2019,,1,,63,11/01/1965,,"$18,800,000","50%or$9,400,000",P*-3.0or2.375%,30Years(360Phase),"$87,729/Month"
0,Price(HK$)7.98M,,743,"1,014",73%,3room(s),,,,14/05/2019, 11 SHAP PAT HEUNG ROAD,Therearetotally12towers(Tower4isomitted), Nearby Kindergarten YUEN LONG; Primary 74; Secondary YUEN LONG,"2,580Units","04October,2013",Clubhouse,"$7,980,000","60%or$4,788,000",P*-3.0or2.375%,30Years(360Phase),"$44,686/Month"
0,Price(HK$)8.88M,,780,"1,049",74%,4room(s),,,,20/04/2019, 99 TAI TONG ROAD,7Blocks, Nearby Kindergarten YUEN LONG; Primary 74; Secondary YUEN LONG,721Units,,,"$8,880,000","56%or$5,000,000",P*-3.0or2.375%,30Years(360Phase),"$46,664/Month"
0,Price(HK$)29.8M,,973,"1,012",96%,3room(s),South,Bright&OpenView,,15/05/2019, 8 LA SALLE ROAD,1Block, Nearby Kindergarten KOWLOON CITY; Primary 34; Secondary KOWLOON CITY,56Units,"09July,2014",,"$29,800,000","50%or$14,900,000",P*-3.0or2.375%,30Years(360Phase),"$139,060/Month"
0,Price(HK$)11M,,699,918,76%,3room(s),,,,15/05/2019, 599 SAI SHA ROAD,"7Towers(Tower1,2,3,5,6,7,8)", Nearby Kindergarten SHATIN; Primary 89; Secondary SHATIN,"2,169Units","17July,2009","Clubhouse/ancillaryrecreationalfacilitiesincludeoutdoorswimmingpools,kid'spool,jacuzzi,indoorswimmingpool,saunaandsteam,changingrooms,spaandspavillas,multi-purposeballcourt,gymnasium,kid'sgymnasium,aerobicroom,bowlingalley,billiardrooms,sittingareasandlounges,readingrooms,functionrooms,studyroom,musicroom,computerroom,gameroooms,videogamesroom,children'splayareas,outdoorchildrenplayareas,BBQhuts,tenniscourt,karaokerooms,fitnessroom,tabletennisroomandlandscapedgardens","$11,000,000","50%or$5,500,000",P*-3.0or2.375%,30Years(360Phase),"$51,331/Month"
0,Price(HK$)5.92M,,547,709,77%,,,,,15/05/2019, 2 TIN LUNG ROAD,13Blocks, Nearby Kindergarten YUEN LONG; Primary 72; Secondary YUEN LONG,"3,968Units",,,"$5,920,000","60%or$3,552,000",P*-3.0or2.375%,30Years(360Phase),"$33,150/Month"
0,Price(HK$)42.5M,,"1,706","2,178",78%,6room(s),,,"Terrace,CoveredCarpark",17/05/2019, 5 FO CHUN ROAD,"18Towers,7Houses", Nearby Kindergarten TAI PO; Primary 84; Secondary TAI PO,482Units,"21September,2012",,"$42,500,000","50%or$21,250,000",P*-3.0or2.375%,30Years(360Phase),"$198,323/Month"
0,Price(HK$)18.89M,,766,,,2room(s),Southeast,,,20/05/2019, 98 TAI HO ROAD,7Blocks, Nearby Kindergarten TSUEN WAN; Primary 62; Secondary TSUEN WAN,953Units,"4June,2018",,"$18,900,000","50%or$9,450,000",P*-3.0or2.375%,30Years(360Phase),"$88,195/Month"
0,Price(HK$)20M,,"1,216","1,500",81%,3room(s),West,,1CoveredCarpark,19/05/2019,,1,,24,12/06/1964,,"$20,000,000","50%or$10,000,000",P*-3.0or2.375%,30Years(360Phase),"$93,329/Month"
0,Price(HK$)23M,,755,957,79%,2room(s),Northeast,SeaView,,19/05/2019, 89 POK FU LAM ROAD,, Nearby Kindergarten CENTRAL & WESTERN; Primary 11; Secondary CENTRAL & WESTERN,"2,213Units","11December,2001(Block5-6,8),29December,2000(Block1-3)",,"$23,000,000","50%or$11,500,000",P*-3.0or2.375%,30Years(360Phase),"$107,328/Month"
0,Price(HK$)7.9M,,454,614,74%,,,,,19/05/2019, 100 YEUNG UK ROAD,4, Nearby Kindergarten TSUEN WAN; Primary 62; Secondary TSUEN WAN,"1,624Units","10June,2005",Clubhouse,"$7,900,000","60%or$4,740,000",P*-3.0or2.375%,30Years(360Phase),"$44,238/Month"
0,Price(HK$)8.52M,,581,723,80%,3room(s),Northeast,,,18/05/2019, 398 CASTLE PEAK ROAD TSUEN WAN,, Nearby Kindergarten TSUEN WAN; Primary 62; Secondary TSUEN WAN,"3,360Units","27March,1998(Block9-12),23December,1997(Block5-8),11April,1997(Block1-4)",,"$8,530,000","58%or$5,000,000",P*-3.0or2.375%,30Years(360Phase),"$46,664/Month"
0,Price(HK$)32M,,"1,250","1,646",76%,4room(s),Northeast,,1CoveredCarpark,13/05/2019, 8 CHE KUNG MIU ROAD,"4Towers,Tower1,Tower2,Tower3&Tower5", Nearby Kindergarten SHATIN; Primary 88; Secondary SHATIN,981units,"28September,2012",,"$32,000,000","50%or$16,000,000",P*-3.0or2.375%,30Years(360Phase),"$149,326/Month"
0,Price(HK$)28M,,862,,,3room(s),East,,,13/05/2019, 8 WUI CHEUNG ROAD,"5towers,(Tower1-5,Tower4isomitted)", Nearby Kindergarten YAU TSIM MONG; Primary 31; Secondary YAU TSIM MONG,576Units,"30September,2014",,"$28,000,000","50%or$14,000,000",P*-3.0or2.375%,30Years(360Phase),"$130,660/Month"
0,Price(HK$)8.5M,,485,,,2room(s),Southwest,"Bright&OpenView,SeaView",,17/05/2019, 48 WING SHUN STREET,7Blocks, Nearby Kindergarten TSUEN WAN; Primary 62; Secondary TSUEN WAN,"1,717Units","19September,2014",,"$8,500,000","58%or$5,000,000",P*-3.0or2.375%,30Years(360Phase),"$46,664/Month"
0,Price(HK$)11.8M,,494,706,70%,2room(s),,,,18/05/2019, 22 JOHNSTON ROAD,1, Nearby Kindergarten WAN CHAI; Primary 12; Secondary WAN CHAI,94Units,"26March,2009","Recreationalfacilitiesconsistofbar,Wi-Ficorner,minisnackbar,multi-functionclub,gymnasium,outdoorswimmingpool,studyroom,sun-bathingdeck,BBQarea,starlightgarden,taichicourt,dartcorner,ManhattanTerrace,aroma&massageloft,herbsgarden,andJacuzzi.","$11,800,000","50%or$5,900,000",P*-3.0or2.375%,30Years(360Phase),"$55,064/Month"
0,Price(HK$)40M,,"1,978","2,194",90%,4room(s),,,,03/05/2019,,7,,211,24/09/1974,,"$40,000,000","50%or$20,000,000",P*-3.0or2.375%,30Years(360Phase),"$186,657/Month"
0,Price(HK$)8.48M,,814,"1,060",77%,3room(s),South,,,19/05/2019, 83 SHAP PAT HEUNG ROAD,"4Towers(Tower1,2,3,5)", Nearby Kindergarten YUEN LONG; Primary 73; Secondary YUEN LONG,542Units,"13May,2009","Lounge,ChildrenPlayRoom.Gymnasium,Aerobic&YogaRoom,Spa,GamesRoom,ActivityRoom,KaraokeRoom,SnookerRoom,OutdoorSwimmingPool,Jacuzzi,Sauna","$8,480,000","58%or$5,000,000",P*-3.0or2.375%,30Years(360Phase),"$46,664/Month"
0,Price(HK$)28M,,,,,,,,"Garden,RoofTop,1CoveredCarpark",27/04/2019,,,,,,,"$28,000,000","50%or$14,000,000",P*-3.0or2.375%,30Years(360Phase),"$130,660/Month"
0,Price(HK$)8.27M,,507,655,77%,,,FountainView,,16/05/2019, 9 YUEN LUNG STREET,8, Nearby Kindergarten YUEN LONG; Primary 74; Secondary YUEN LONG,"1,890Units","15June,2010",,"$8,280,000","60%or$4,968,000",P*-3.0or2.375%,30Years(360Phase),"$46,366/Month"
0,Price(HK$)5.95M,,404,550,73%,1room(s),,,,10/05/2019,,1,,42,08/06/1976,,"$5,950,000","60%or$3,570,000",P*-3.0or2.375%,30Years(360Phase),"$33,318/Month"
0,Price(HK$)6.68M,,506,650,78%,,,,,19/05/2019, 1 YING HO ROAD,"25towers,48houses", Nearby Kindergarten YUEN LONG; Primary 74; Secondary YUEN LONG,780Units,"06September,2013",,"$6,680,000","60%or$4,008,000",P*-3.0or2.375%,30Years(360Phase),"$37,406/Month"
0,Price(HK$)13.5M,,698,815,86%,3room(s),East,Bright&OpenView,,12/05/2019, 180 POK FU LAM ROAD,6, Nearby Kindergarten SOUTH; Primary 18; Secondary SOUTH,"1,120Units","12December,1979","PodiumGarden,ChildrenPlayground,SwimmingPool,RecreationFacilities","$13,500,000","50%or$6,750,000",P*-3.0or2.375%,30Years(360Phase),"$62,997/Month"
0,Price(HK$)9.19M,,588,694,85%,3room(s),Southwest,SeaView,,14/05/2019, 1-20 CHI FU ROAD,20, Nearby Kindergarten SOUTH; Primary 18; Secondary SOUTH,"4,329Units","26June,1981(BlockH-15),11June,1981(BlockH-16ToH-20),23March,1981(BlockH-14),30September,1980(BlockH-13),18April,1980(BlockH-10,H-11),03April,1980(BlockH-12),06June,1979(BlockH-9),25January,1979(BlockH-8),29December,1978(BlockH-7),28December,1978(BlockH-2),06December,1978(BlockH-3,H-4,H-5),22September,1978(BlockH-1,H-6),31August,1978(YarCheeVillas)","ShoppingMall,BowlingAlley,Bank,Restaurant,Supermarket,HeatedSwimmingPool,Garden","$9,200,000","54%or$5,000,000",P*-3.0or2.375%,30Years(360Phase),"$46,664/Month"
0,Price(HK$)9.6M,,588,694,85%,3room(s),Southwest,SeaView,,10/05/2019, 1-20 CHI FU ROAD,20, Nearby Kindergarten SOUTH; Primary 18; Secondary SOUTH,"4,329Units","26June,1981(BlockH-15),11June,1981(BlockH-16ToH-20),23March,1981(BlockH-14),30September,1980(BlockH-13),18April,1980(BlockH-10,H-11),03April,1980(BlockH-12),06June,1979(BlockH-9),25January,1979(BlockH-8),29December,1978(BlockH-7),28December,1978(BlockH-2),06December,1978(BlockH-3,H-4,H-5),22September,1978(BlockH-1,H-6),31August,1978(YarCheeVillas)","ShoppingMall,BowlingAlley,Bank,Restaurant,Supermarket,HeatedSwimmingPool,Garden","$9,600,000","52%or$5,000,000",P*-3.0or2.375%,30Years(360Phase),"$46,664/Month"
0,Price(HK$)5.38M,,452,561,81%,2room(s),West,,,25/04/2019, 19 HOP CHOI STREET,2Blocks, Nearby Kindergarten YUEN LONG; Primary 74; Secondary YUEN LONG,400Units,"15October,1990",,"$5,380,000","60%or$3,228,000",P*-3.0or2.375%,30Years(360Phase),"$30,126/Month"
0,Price(HK$)18M,,809,"1,205",67%,4room(s),Southwest,"Bright&OpenView,ViewsoverlookingVictoriaHarbour,OverlookingSportsField","540FeetRoofTop,38FeetBalcony",14/05/2019, 38 SAN MA TAU STREET,5, Nearby Kindergarten KOWLOON CITY; Primary 34; Secondary KOWLOON CITY,"1,782Units","07November,2006","Clubhouse,ShoppingMall,Carpark","$18,000,000","50%or$9,000,000",P*-3.0or2.375%,30Years(360Phase),"$83,996/Month"
0,Price(HK$)6.45M,,453,562,81%,2room(s),,,,08/05/2019," PHASE A：1-7 YI HONG STREET, PHASE B,C：2-12 YI HONG STREET, PHASE D：2-12 YI LOK STREET, PHASE E：1-9 YI LOK STREET",20, Nearby Kindergarten TSUEN WAN; Primary 62; Secondary TSUEN WAN,"5,636Units","14March,1991(Block15-19),27February,1991(Block20-22),25February,1991(Block1-4),19October,1990(Block5-12)","OutdoorSwimmingPool,BadmintonCourt,SquashCourt,SaunaRoom,School,etc.","$6,450,000","60%or$3,870,000",P*-3.0or2.375%,30Years(360Phase),"$36,118/Month"
0,Price(HK$)9.38M,,581,745,78%,3room(s),,Bright&OpenView,,19/05/2019, 18A SOUTH HORIZON DRIVE,34, Nearby Kindergarten SOUTH; Primary 18; Secondary SOUTH,"9,812Units","28March,1995(Block25-28,32,33,33A),19December,1994(Block29-31),02February,1994(Block19,20,22,23,23A),20December,1993(Block17,18,21),27July,1993(Block13A,15,16),30October,1992(Block7-13),31March,1992(Block6),22November,1991(Block1-5)","ClubHouse,IndoorHeatedSwimmingPool,Jacuzzi,Gymnasium,SquashCourt,BasketballCourt,BadmintonCourt,DancingRoom,GameRoom,OutdoorSwimmingPool,TennisCourt,ChildrenPlayground","$9,380,000","53%or$5,000,000",P*-3.0or2.375%,30Years(360Phase),"$46,664/Month"
0,Price(HK$)8M,"Rent(HK$)17,000",362,,,2room(s),East,,,19/05/2019, 23 SUNG ON STREET,, Nearby Kindergarten KOWLOON CITY; Primary 35; Secondary KOWLOON CITY,"1,008Units","27December,2018",,"$8,000,000","60%or$4,800,000",P*-3.0or2.375%,30Years(360Phase),"$44,798/Month"
0,Price(HK$)11M,,702,978,72%,3room(s),,,,19/05/2019, 19-25 ON KING STREET,10, Nearby Kindergarten SHATIN; Primary 91; Secondary SHATIN,"1,733Units","01April,1993(HillviewCourt,IrisCourt,JuniperCourt),25February,1993(ElegantCourt,GalaxyCourt,ForumCourt,DeliteCourt),08April,1991(AbbeyCourt,BelleveCourt,CapilanoCourt)","ClubHouse,SwimmingPool,TennisCourt,Kid'sSwimmingPool.OutdoorChildrenPlayground,Fountain,PodiumGarden,PrivateCarPark","$11,000,000","50%or$5,500,000",P*-3.0or2.375%,30Years(360Phase),"$51,331/Month"
0,Price(HK$)7.78M,,475,555,86%,2room(s),East,,,18/05/2019, 22-26 WAI TSUEN ROAD,17, Nearby Kindergarten TSUEN WAN; Primary 62; Secondary TSUEN WAN,"4,000Units","21June,1985","Plaza,ShoppingMall,Bank,Market,Cinema,School","$7,780,000","60%or$4,668,000",P*-3.0or2.375%,30Years(360Phase),"$43,566/Month"
0,Price(HK$)12M,,715,,,,,,,14/05/2019, 48 WING SHUN STREET,7Blocks, Nearby Kindergarten TSUEN WAN; Primary 62; Secondary TSUEN WAN,"1,717Units","19September,2014",,"$12,000,000","50%or$6,000,000",P*-3.0or2.375%,30Years(360Phase),"$55,997/Month"
0,Price(HK$)6.1M,,460,573,80%,2room(s),,,,19/05/2019, 86-105 TSUEN KING CIRCUIT,19, Nearby Kindergarten TSUEN WAN; Primary 62; Secondary TSUEN WAN,"4,516Units","17August,1982(Block11-14),27July,1981(Block15-17),22December,1980(Block18,19),02February,1980(Block1,2,5-10),23October,1979(Block3,4)","ShoppingMall,CarPark,School","$6,100,000","60%or$3,660,000",P*-3.0or2.375%,30Years(360Phase),"$34,158/Month"
0,Price(HK$)28M,,756,,,2room(s),North,,,17/05/2019, 23 HING HON ROAD,2Towers(Tower1andTower2), Nearby Kindergarten CENTRAL & WESTERN; Primary 11; Secondary CENTRAL & WESTERN,168Units,"25November,2013",,"$28,000,000","50%or$14,000,000",P*-3.0or2.375%,30Years(360Phase),"$130,660/Month"
0,Price(HK$)9.6M,,455,723,63%,2room(s),Northeast,Bright&OpenView,,17/05/2019, 1-3 VICTORY AVENUE,1, Nearby Kindergarten KOWLOON CITY; Primary 34; Secondary KOWLOON CITY,63Units,"12September,2011","Gymnasium,PlayRoom,ReadingRoom,Lounge,BBQZone,LandscapeZone,PetPark","$9,600,000","52%or$5,000,000",P*-3.0or2.375%,30Years(360Phase),"$46,664/Month"
0,Price(HK$)4.7M,,371,550,67%,3room(s),,BuildingView,,14/05/2019, 8-18 Shek Man Path,1,,72,29/03/1974,,"$4,700,000","60%or$2,820,000",P*-3.0or2.375%,30Years(360Phase),"$26,319/Month"
0,Price(HK$)7M,,440,596,74%,2room(s),,,,16/04/2019, 11 SHAP PAT HEUNG ROAD,Therearetotally12towers(Tower4isomitted), Nearby Kindergarten YUEN LONG; Primary 74; Secondary YUEN LONG,"2,580Units","04October,2013",Clubhouse,"$7,000,000","60%or$4,200,000",P*-3.0or2.375%,30Years(360Phase),"$39,198/Month"
0,Price(HK$)38M,,"2,018","3,578",56%,,,"Bright&OpenView,GardenView","1433FeetGarden,RoofTop,CoveredCarpark",16/05/2019," 28,33 KWU TUNG ROAD",132Blocks(House), Nearby Kindergarten NORTH; Primary 80; Secondary NORTH,132Units,"30December,2009",,"$38,000,000","50%or$19,000,000",P*-3.0or2.375%,30Years(360Phase),"$177,324/Month"
0,Price(HK$)18M,,934,"1,168",80%,3room(s),,,887FeetRoofTop,18/05/2019, 1E KAU TO SHAN ROAD,7Blocks, Nearby Kindergarten SHATIN; Primary 91; Secondary SHATIN,56Units,"30November,1995",,"$18,000,000","50%or$9,000,000",P*-3.0or2.375%,30Years(360Phase),"$83,996/Month"
0,Price(HK$)16.8M,,"1,008","1,313",77%,,,,2CoveredCarpark,16/05/2019, 108 ROUTE TWISK,Phase1, Nearby Kindergarten TSUEN WAN; Primary 62; Secondary TSUEN WAN,770Units,"18October,2004(Block11,12,15-19),03September,2004(Block1-3,5-10)",,"$16,800,000","50%or$8,400,000",P*-3.0or2.375%,30Years(360Phase),"$78,396/Month"
